Artist_Name,Channel_Name,Song_Name,Video_Description,YouTube_Link,
Blackpink,BLACKPINK,As If It Was Your Last,Dance Practice,https://www.youtube.com/watch?v=hKUJmA9O6iA,
Blackpink,BLACKPINK,As If It Was Your Last,Official Music Video,https://www.youtube.com/watch?v=Amq-qlqbjYA,
Blackpink,BLACKPINK,Boombayah,Dance Practice,https://www.youtube.com/watch?v=ivoS3HUJB3Q,
Blackpink,BLACKPINK,Boombayah,Official Music Video,https://www.youtube.com/watch?v=bwmSjveL3Lc,
Blackpink,BLACKPINK,Ddu-du Ddu-du,Official MV,https://www.youtube.com/watch?v=IHNzOHi8sJs,
Blackpink,BLACKPINK,Playing With Fire,Dance Practice,https://www.youtube.com/watch?v=NvWfJTbrTBY,
Blackpink,BLACKPINK,Playing With Fire,Official Music Video,https://www.youtube.com/watch?v=9pdj4iJD08s,
Blackpink,BLACKPINK,Stay,Official Music Video,https://www.youtube.com/watch?v=FzVR_fymZw4,
Blackpink,BLACKPINK,Whistle,Dance Practice,https://www.youtube.com/watch?v=1kYrp_Bs8DU,
Blackpink,BLACKPINK,Whistle,Official Music Video,https://www.youtube.com/watch?v=dISNgvVpWlo,
BoA,SMTOWN,Camo,Official MV,https://www.youtube.com/watch?v=bKqe9zqMUcI,
BoA,SMTOWN,Copy&Paste,Official MV,https://www.youtube.com/watch?v=hhBwPj7NpBk,
BoA,SMTOWN,Disturbance,Official MV,https://www.youtube.com/watch?v=ac4e7PRl_Ec,
BoA,SMTOWN,Eat You Up,Official MV,https://www.youtube.com/watch?v=OLnr2u_nj10,
BoA,SMTOWN,Eat You Up,Official MV (Cha Version),https://www.youtube.com/watch?v=cthQfJ_Sbk0,
BoA,SMTOWN,Energetic,Official MV,https://www.youtube.com/watch?v=qE05Bv1e_fo,
BoA,SMTOWN,Game,Official MV,https://www.youtube.com/watch?v=B0Xsa-2sTLA,
BoA,SMTOWN,Hurrican Venus,Official MV,https://www.youtube.com/watch?v=vz7Gstx5ogk,
BoA,SMTOWN,Jazzclub,Official MV,https://www.youtube.com/watch?v=xP-DFPuODcM,
BoA,SMTOWN,Milky Way,Official MV,https://www.youtube.com/watch?v=M48JMEkiu3Q,
BoA,SMTOWN,My Name,Official MV,https://www.youtube.com/watch?v=mR8i0fRVmSA,
BoA,SMTOWN,My Sweetie,Official MV,https://www.youtube.com/watch?v=eloisKQd7TA,
BoA,SMTOWN,Nega Dola,Official Music Video,https://www.youtube.com/watch?v=pykyNOEVqCU,
BoA,SMTOWN,No.1,Official MV,https://www.youtube.com/watch?v=ceZc-5p3g1w,
BoA,SMTOWN,"One Shot, Two Shot",Official Music Video,https://www.youtube.com/watch?v=Xg_4tbLnIOc,
BoA,SMTOWN,Only One,Official MV (Dance version),https://www.youtube.com/watch?v=PQjovLrnvVo,
BoA,SMTOWN,The Shadow,Official MV,https://www.youtube.com/watch?v=8fHERLFv-FU,
BoA,SMTOWN,Who Are You,Official MV,https://www.youtube.com/watch?v=-sjfQWGkGF4,
Bobby,iKON,Firework,Official MV,https://www.youtube.com/watch?v=zwgqcW7WY2Y,
